Designator,Mid X,Mid Y,Rotation,Layer
C1,186.378854,38.751927,-90,top
C2,192.725,33.589427,0,top
C3,184.925,33.189427,180,top
C5,187.5,73.4625,90,top
C6,191.075,73.4625,90,top
C7,161.75,73,-90,top
C8,163.75,78,0,top
C9,194.65,73.4825,90,top
C10,208.794,73.4625,-90,top
C11,224.554,73.5,-90,top
C12,221.402,73.5,-90,top
C13,218.25,73.5,-90,top
C14,215.098,73.5,-90,top
C15,211.946,73.5,-90,top
D1,183.128854,38.689427,-90,top
D2,215.75,68.7,180,top
D3,197.5875,36.189427,0,top
D4,175.725,52,180,top
D5,170.5,58.25,0,top
D6,173.65,64.2,180,top
D7,175.725,55.25,180,top
D8,214.5,53,0,top
D9,177.25,58,0,top
D10,175.975,48.5,180,top
D11,181.8375,64.25,180,top
D12,175.975,45,180,top
D13,162.75,35.25,0,top
D14,196.975,55.25,180,top
D15,196.975,51.75,180,top
D16,202.15,74.7125,180,top
D17,196.975,48.25,180,top
D18,196.975,44.75,180,top
D20,178.628854,35.639427,0,top
F1,173.378854,39.439427,-90,top
F2,164.75,60.5,90,top
F3,211.5,63.25,90,top
J1,160.5325,64.25,90,top
J2,225.9675,67,-90,top
J3,229.03,54.25,90,top
J5,162.42,29.5,90,top
J8,157.5,54.25,-90,top
L1,188.825,35.489427,-90,top
L2,163.83,45.25,90,top
L3,175.65,72.9625,0,top
Q1,178.628854,39.439427,180,top
Q2,197.628854,39.439427,180,top
Q3,191.878854,39.389427,180,top
Q4,207.378854,38.139427,180,top
Q5,206.5,61.56,90,top
R1,202.628854,40.389427,180,top
R2,202.628854,38.439427,180,top
R3,192.0875,36.439427,180,top
R4,202.628854,36.389427,0,top
R5,184,35.439427,0,top
R6,171.975,52,0,top
R7,170.5,60.5,0,top
R8,217.2,61,0,top
R9,171.975,55.25,0,top
R10,214.5,55,0,top
R11,177.25,60.25,0,top
R12,172.1375,48.5,0,top
R13,181.8375,62,180,top
R14,172.225,45,0,top
R15,162.75,37.5,0,top
R16,193.225,55.25,0,top
R17,192.975,51.75,0,top
R18,164.15,73.7125,90,top
R19,192.975,48.25,0,top
R20,211.1875,67,0,top
R21,192.8875,44.75,0,top
R22,164,69.75,-90,top
R23,211.1,69.75,180,top
R24,205.75,71.5,180,top
R25,201.05,71.5,180,top
R26,215.75,64.25,0,top
R27,229.775,46.97656,90,top
R28,227.025,46.97656,90,top
R29,160.5,47.5,0,top
R30,157,47.5,0,top
SW1,215,45.5,180,top
SW2,215.25,38,180,top
